title,release_date,description,meta_score,image_link
The Book of Clarence,"Jan 12, 2024","Streetwise but down-on-his-luck, Clarence (LaKeith Stanfield) is struggling to find a better life for his family, while fighting to free himself of debt. Captivated by the power and glory of the rising Messiah and His apostles, he risks everything to carve his own path to a divine life, and ultimately discovers that the redemptive power ",64,https://www.metacritic.com/a/img/catalog/provider/2/2/2-3f4243b3fc1606f7405dee916c0d3b1c.jpg
Maestro,"Nov 22, 2023","Netflix's drama traces the complex love story of composer Leonard Bernstein (Bradley Cooper) and Felicia Montealegre (Carey Mulligan), from the time they met in 1946 at a party and continuing through two engagements, a 25-year marriage, and three children.",77,https://www.metacritic.com/a/img/catalog/provider/2/13/2-465a35df0119358859f06824d4a2a6ec.jpg
The Bikeriders,"Dec 1, 2023",The Bikeriders follows the rise of a 1960s Midwestern motorcycle gang through the lives of its members.,74,
Fallen Leaves,"Nov 17, 2023","Two lonely people (Alma Pöysti and Jussi Vatanen) meet each other by chance in the Helsinki night and try to find the first, only, and ultimate love of their lives. Their path towards this honourable goal is clouded by the man’s alcoholism, lost phone numbers, not knowing each other’s names or addresses, and life’s general tendency to pl",79,https://www.metacritic.com/a/img/catalog/provider/2/13/2-baadccd344c87fa55728277d1df09bbe.jpg
The Boy and the Heron,"Nov 22, 2023","A young boy named Mahito
yearning for his mother
ventures into a world shared by the living and the dead.
There, death comes to an end,
and life finds a new beginning.
",91,
The Disappearance of Shere Hite,"Nov 17, 2023","Shere Hite’s 1976 bestselling book, The Hite Report, liberated the female orgasm by revealing the most private experiences of thousands of anonymous survey respondents. Her findings rocked the American establishment and presaged current conversations about gender, sexuality, and bodily autonomy. So how did Shere Hite disappear?",79,https://www.metacritic.com/a/img/catalog/provider/2/2/2-fce37e00bbc75d5b8bb7f0f3e555b106.jpg
May December,"Nov 17, 2023","Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past.",82,
Monster,"Nov 22, 2023","When her young son Minato starts to behave strangely, his mother feels that there is something wrong. Discovering that a teacher is responsible, she storms into the school demanding to know what’s going on. But as the story unfolds through the eyes of the mother, teacher and child, the truth gradually emerges.",80,https://www.metacritic.com/a/img/catalog/provider/2/2/2-005fcf229280d191905eec93e754721e.jpg
Menus Plaisirs - Les Troisgros,4 h,A 93-year-old director embeds inside a French restaurant that's held three Michelin stars for more than 50 years.,88,
Raging Grace,"Dec 8, 2023","An undocumented Filipina immigrant lands a job as a care-worker for a terminal old man, securing a better life for her and her daughter. But a dark discovery threatens to destroy everything she's strived for and holds dear.",70,https://www.metacritic.com/a/img/catalog/provider/2/2/2-578bcab5e768d0206f4d827d705ee3db.jpg
Next Goal Wins,"Nov 17, 2023","Next Goal Wins follows the infamously terrible American Samoa soccer team, known for a brutal 2001 FIFA match they lost 31-0. With the 2014 World Cup Qualifiers approaching, the team hires down-on-his-luck, maverick coach Thomas Rongen (Michael Fassbender) hoping he will turn the world’s worst soccer team around.",50,
Poor Things,"Dec 8, 2023","Bella Baxter (Emma Stone) is brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter (Willem Dafoe). Under Baxter’s protection, Bella is eager to learn. Hungry for the worldliness she is lacking, Bella runs off with Duncan Wedderburn (Mark Ruffalo), a slick and debauched lawyer, on a whirlwind adventure across th",94,
The Zone of Interest,"Dec 8, 2023","The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",95,https://www.metacritic.com/a/img/catalog/provider/2/13/2-09864d94f07e4d2482556c1afd6ce229.jpg
Magazine Dreams,"Dec 8, 2023",An amateur bodybuilder struggles to find human connection as his relentless drive for recognition pushes him to the brink.,72,https://www.metacritic.com/a/img/catalog/provider/2/13/2-6ac60089f8c0a4c2a1203c0f90a592f8.jpg
The End We Start From,"Dec 8, 2023",A woman who along with her newborn try to find their way home as environmental crisis that submerges London in flood waters and sees a young family torn apart in the chaos.,62,https://www.metacritic.com/a/img/catalog/provider/2/2/2-2c050e00f3b827d347533cb71e598621.jpg
Occupied City,"Dec 24, 2023","The past collides with the present in this excavation of the Nazi occupation of Amsterdam: a journey from World War II to recent years of pandemic and protest and a provocative, life-affirming reflection on memory, time and what's to come.",74,https://www.metacritic.com/a/img/catalog/provider/2/2/2-7e0f1cf705d6e81bb419dbed0d998e0e.jpg
Ferrari,"Dec 25, 2023","In the summer of 1957, ex-race car driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing 10 years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgment of another. He decides to counter his losses by rolling the dice on one race – 1,000 mi",75,
American Fiction,"Dec 15, 2023","Monk (Jeffrey Wright) is a frustrated novelist who’s fed up with the establishment profiting from “Black” entertainment that relies on tired and offensive tropes. To prove his point, Monk uses a pen name to write an outlandish “Black” book of his own, a book that propels him to the heart of hypocrisy and the madness he claims to disdain.",82,https://www.metacritic.com/a/img/catalog/provider/2/13/2-91e431186c445b59a120588e361f210f.jpg
All of Us Strangers,"Dec 22, 2023","One night in his near-empty tower block in contemporary London, Adam (Andrew Scott) has a chance encounter with a mysterious neighbor Harry (Paul Mescal), which punctures the rhythm of his everyday life. As a relationship develops between them, Adam is preoccupied with memories of the past and finds himself drawn back to the suburban tow",93,
Society of the Snow,"Jan 4, 2024",The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.,69,https://www.metacritic.com/a/img/catalog/provider/2/13/2-4ae88051147c302650e67ca86cabf05e.jpg
